Analytics overview
2026-03-24 - 2026-04-23
Content types,All
Devices,All
Source,All
Publish Types,
Age,All
Gender,All
Claimed accounts,All Pins
Format,All
Curated content,Not included

Date,Impressions
2026-03-24,
2026-03-25,
2026-03-26,
2026-03-27,
2026-03-28,
2026-03-29,
2026-03-30,
2026-03-31,
2026-04-01,0
2026-04-02,0
2026-04-03,0
2026-04-04,0
2026-04-05,3
2026-04-06,24
2026-04-07,51
2026-04-08,38
2026-04-09,17
2026-04-10,73
2026-04-11,97
2026-04-12,69
2026-04-13,128
2026-04-14,120
2026-04-15,327
2026-04-16,250
2026-04-17,213
2026-04-18,293
2026-04-19,535
2026-04-20,434
2026-04-21,520
2026-04-22,757
2026-04-23,1149
Data starting from 2026-04-22 is an estimate that gets adjusted as it's verified over time.

Top Boards 2026-03-24 - 2026-04-23
Pinterest Link,Impressions,Engagement,Pin clicks,Outbound clicks,Saves
https://www.pinterest.com/klovaclothings/future-living-off-grid-tech/,3451,100,80,0,21
https://www.pinterest.com/klovaclothings/smart-pet-wellness-eco-tech-quiet-luxury/,1504,27,24,1,2
https://www.pinterest.com/klovaclothings/_quick_creates/,143,4,2,0,3
"Top boards table is restricted to data from the last 6 months. This includes estimated data from 2026-04-22, which gets adjusted as it's verified over time."

Top Pins 2026-03-24 - 2026-04-23
Pinterest Link,Content Type,Source,Canonical,Impressions
https://www.pinterest.com/pin/867646684481475922/,Organic,From you,No,1579
https://www.pinterest.com/pin/867646684481645804/,Organic,From you,No,281
https://www.pinterest.com/pin/867646684481464762/,Organic,From you,No,215
https://www.pinterest.com/pin/867646684481428098/,Organic,From you,No,200
https://www.pinterest.com/pin/867646684481735030/,Organic,From you,No,161
https://www.pinterest.com/pin/867646684481698583/,Organic,From you,No,142
https://www.pinterest.com/pin/867646684481629382/,Organic,From you,No,139
https://www.pinterest.com/pin/867646684481465678/,Organic,From you,No,104
https://www.pinterest.com/pin/867646684481463814/,Organic,From you,No,103
https://www.pinterest.com/pin/867646684481466482/,Organic,From you,No,90
https://www.pinterest.com/pin/867646684481465721/,Organic,From you,No,88
https://www.pinterest.com/pin/867646684481429767/,Organic,From you,No,86
https://www.pinterest.com/pin/867646684481756637/,Organic,From you,No,82
https://www.pinterest.com/pin/867646684481550309/,Organic,From you,No,81
https://www.pinterest.com/pin/867646684481466955/,Organic,From you,No,79
https://www.pinterest.com/pin/867646684481525980/,Organic,From you,No,78
https://www.pinterest.com/pin/867646684481598026/,Organic,From you,No,77
https://www.pinterest.com/pin/867646684481507894/,Organic,From you,No,74
https://www.pinterest.com/pin/867646684481688973/,Organic,From you,No,73
https://www.pinterest.com/pin/867646684481549744/,Organic,From you,No,70
https://www.pinterest.com/pin/867646684481657876/,Organic,From you,No,68
https://www.pinterest.com/pin/867646684481530230/,Organic,From you,No,67
https://www.pinterest.com/pin/867646684481430438/,Organic,From you,No,66
https://www.pinterest.com/pin/867646684481756563/,Organic,From you,No,61
https://www.pinterest.com/pin/867646684481529376/,Organic,From you,No,52
https://www.pinterest.com/pin/867646684481598188/,Organic,From you,No,50
https://www.pinterest.com/pin/867646684481756515/,Organic,From you,No,44
https://www.pinterest.com/pin/867646684481654837/,Organic,From you,No,39
https://www.pinterest.com/pin/867646684481733908/,Organic,From you,No,38
https://www.pinterest.com/pin/867646684481735714/,Organic,From you,No,37
https://www.pinterest.com/pin/867646684481700309/,Organic,From you,No,34
https://www.pinterest.com/pin/867646684481698551/,Organic,From you,No,34
https://www.pinterest.com/pin/867646684481838850/,Organic,From you,No,31
https://www.pinterest.com/pin/867646684481596482/,Organic,From you,No,31
https://www.pinterest.com/pin/867646684481526763/,Organic,From you,No,28
https://www.pinterest.com/pin/867646684481756533/,Organic,From you,No,28
https://www.pinterest.com/pin/867646684481667133/,Organic,From you,No,27
https://www.pinterest.com/pin/867646684481622906/,Organic,From you,No,27
https://www.pinterest.com/pin/867646684481803574/,Organic,From you,No,25
https://www.pinterest.com/pin/867646684481505415/,Organic,From you,No,23
https://www.pinterest.com/pin/867646684481878693/,Organic,From you,No,23
https://www.pinterest.com/pin/867646684481859452/,Organic,From you,No,23
https://www.pinterest.com/pin/867646684481506930/,Organic,From you,No,21
https://www.pinterest.com/pin/867646684481712142/,Organic,From you,No,19
https://www.pinterest.com/pin/867646684481879213/,Organic,From you,No,16
https://www.pinterest.com/pin/867646684481723272/,Organic,From you,No,15
https://www.pinterest.com/pin/867646684481700314/,Organic,From you,No,15
https://www.pinterest.com/pin/867646684481893758/,Organic,From you,No,15
https://www.pinterest.com/pin/867646684481596292/,Organic,From you,No,14
https://www.pinterest.com/pin/867646684481654030/,Organic,From you,No,13
"Top pins table is restricted to data from the last 6 months. This includes estimated data from 2026-04-22, which gets adjusted as it's verified over time."

