Analytics overview
2026-03-28 - 2026-04-27
Content types,All
Devices,All
Source,All
Publish Types,
Age,All
Gender,All
Claimed accounts,All Pins
Format,All
Curated content,Not included

Date,Impressions
2026-03-28,
2026-03-29,
2026-03-30,
2026-03-31,
2026-04-01,0
2026-04-02,0
2026-04-03,0
2026-04-04,0
2026-04-05,3
2026-04-06,24
2026-04-07,51
2026-04-08,38
2026-04-09,17
2026-04-10,73
2026-04-11,97
2026-04-12,69
2026-04-13,128
2026-04-14,120
2026-04-15,327
2026-04-16,250
2026-04-17,213
2026-04-18,293
2026-04-19,535
2026-04-20,434
2026-04-21,520
2026-04-22,803
2026-04-23,1456
2026-04-24,1196
2026-04-25,2896
2026-04-26,2761
2026-04-27,2531
Data starting from 2026-04-26 is an estimate that gets adjusted as it's verified over time.

Top Boards 2026-03-28 - 2026-04-27
Pinterest Link,Impressions,Engagement,Pin clicks,Outbound clicks,Saves
https://www.pinterest.com/klovaclothings/future-living-off-grid-tech/,12151,279,238,0,45
https://www.pinterest.com/klovaclothings/smart-pet-wellness-eco-tech-quiet-luxury/,2453,52,45,2,5
https://www.pinterest.com/klovaclothings/_quick_creates/,231,5,3,0,3
"Top boards table is restricted to data from the last 6 months. This includes estimated data from 2026-04-26, which gets adjusted as it's verified over time."

Top Pins 2026-03-28 - 2026-04-27
Pinterest Link,Content Type,Source,Canonical,Impressions
https://www.pinterest.com/pin/867646684481475922/,Organic,From you,No,9079
https://www.pinterest.com/pin/867646684481645804/,Organic,From you,No,584
https://www.pinterest.com/pin/867646684481464762/,Organic,From you,No,392
https://www.pinterest.com/pin/867646684481428098/,Organic,From you,No,335
https://www.pinterest.com/pin/867646684481735030/,Organic,From you,No,282
https://www.pinterest.com/pin/867646684481629382/,Organic,From you,No,225
https://www.pinterest.com/pin/867646684481507894/,Organic,From you,No,197
https://www.pinterest.com/pin/867646684481698583/,Organic,From you,No,177
https://www.pinterest.com/pin/867646684481756637/,Organic,From you,No,154
https://www.pinterest.com/pin/867646684481823628/,Organic,From you,No,142
https://www.pinterest.com/pin/867646684481688973/,Organic,From you,No,139
https://www.pinterest.com/pin/867646684481550309/,Organic,From you,No,129
https://www.pinterest.com/pin/867646684481463814/,Organic,From you,No,122
https://www.pinterest.com/pin/867646684481465678/,Organic,From you,No,122
https://www.pinterest.com/pin/867646684481525980/,Organic,From you,No,106
https://www.pinterest.com/pin/867646684481465721/,Organic,From you,No,103
https://www.pinterest.com/pin/867646684481429767/,Organic,From you,No,97
https://www.pinterest.com/pin/867646684481466482/,Organic,From you,No,93
https://www.pinterest.com/pin/867646684481466955/,Organic,From you,No,89
https://www.pinterest.com/pin/867646684481598026/,Organic,From you,No,89
https://www.pinterest.com/pin/867646684481549744/,Organic,From you,No,88
https://www.pinterest.com/pin/867646684481756563/,Organic,From you,No,84
https://www.pinterest.com/pin/867646684481657876/,Organic,From you,No,82
https://www.pinterest.com/pin/867646684481530230/,Organic,From you,No,82
https://www.pinterest.com/pin/867646684481430438/,Organic,From you,No,74
https://www.pinterest.com/pin/867646684481838850/,Organic,From you,No,71
https://www.pinterest.com/pin/867646684481756515/,Organic,From you,No,68
https://www.pinterest.com/pin/867646684481529376/,Organic,From you,No,67
https://www.pinterest.com/pin/867646684481756533/,Organic,From you,No,65
https://www.pinterest.com/pin/867646684481735714/,Organic,From you,No,63
https://www.pinterest.com/pin/867646684481598188/,Organic,From you,No,60
https://www.pinterest.com/pin/867646684481733908/,Organic,From you,No,57
https://www.pinterest.com/pin/867646684481654837/,Organic,From you,No,51
https://www.pinterest.com/pin/867646684481803574/,Organic,From you,No,48
https://www.pinterest.com/pin/867646684481700309/,Organic,From you,No,48
https://www.pinterest.com/pin/867646684481526763/,Organic,From you,No,47
https://www.pinterest.com/pin/867646684481698551/,Organic,From you,No,46
https://www.pinterest.com/pin/867646684481596292/,Organic,From you,No,45
https://www.pinterest.com/pin/867646684481859452/,Organic,From you,No,45
https://www.pinterest.com/pin/867646684481893641/,Organic,From you,No,43
https://www.pinterest.com/pin/867646684481878693/,Organic,From you,No,43
https://www.pinterest.com/pin/867646684481622906/,Organic,From you,No,42
https://www.pinterest.com/pin/867646684481723291/,Organic,From you,No,40
https://www.pinterest.com/pin/867646684481667133/,Organic,From you,No,40
https://www.pinterest.com/pin/867646684481596482/,Organic,From you,No,34
https://www.pinterest.com/pin/867646684481712142/,Organic,From you,No,32
https://www.pinterest.com/pin/867646684481506930/,Organic,From you,No,30
https://www.pinterest.com/pin/867646684481947383/,Organic,From you,No,29
https://www.pinterest.com/pin/867646684481505415/,Organic,From you,No,25
https://www.pinterest.com/pin/867646684481915152/,Organic,From you,No,24
"Top pins table is restricted to data from the last 6 months. This includes estimated data from 2026-04-26, which gets adjusted as it's verified over time."

